ID,User,Date,Tweet,Len
1337912498532466689,ravenreedhk,2020-12-13 00:09:31,"RT @news_ntd: Tens of thousands of people converged at the #Capitol and the #SupremeCourt on #Saturday—amidst blaring musical horns, red, w…",140
1337912465938640904,Despise45,2020-12-13 00:09:23,"RT @SCVIndy: @ResisterForever @chulesee Here are @gop @HouseGOP republicans supporting trumps attack #Democracy 👇

They no longer respect t…",140
1337912294441775104,andrew_l83,2020-12-13 00:08:42,@cvpayne @kayleighmcenany #say #Thankyou by #acutally #helping #stop #Trumps #Murderous #pandemic but #wait #Trump… https://t.co/5AxYi3WdQW,139
1337912209943441409,Despise45,2020-12-13 00:08:22,"RT @SCVIndy: @DanCrenshawTX Courts have thrown out 50+ cases for lack of evidence #voterfraud

https://t.co/pWrtcuwmQp

Now #SCOTUS throws…",139
1337912126078332932,Despise45,2020-12-13 00:08:02,"RT @SCVIndy: Thankfully #voterfraud very rare in America

https://t.co/OmdSyKWRcF

Trump made up assertions need context:his persistent lyi…",140
1337912103886315521,Despise45,2020-12-13 00:07:57,"RT @SCVIndy: Curious if trump is following Putin instructions for nullifying #2020Election

Trump repeated secret phone calls

https://t.co…",140
1337912062438158337,61Geordie,2020-12-13 00:07:47,"RT @PoliticsPollss: More Leave voters than Remainers have swung from the Tories to Labour since the last election, according to a major pol…",140
1337911952090132483,YujiMarutani,2020-12-13 00:07:21,"RT @news_ntd: Tens of thousands of people converged at the #Capitol and the #SupremeCourt on #Saturday—amidst blaring musical horns, red, w…",140
1337911692257349636,CauseofourJoy,2020-12-13 00:06:19,"RT @news_ntd: Tens of thousands of people converged at the #Capitol and the #SupremeCourt on #Saturday—amidst blaring musical horns, red, w…",140
1337911433158418438,psj211,2020-12-13 00:05:17,"RT @news_ntd: Tens of thousands of people converged at the #Capitol and the #SupremeCourt on #Saturday—amidst blaring musical horns, red, w…",140
1337911365357461509,news_ntd,2020-12-13 00:05:01,Tens of thousands of people converged at the #Capitol and the #SupremeCourt on #Saturday—amidst blaring musical hor… https://t.co/sSm7oZRE82,140
1337911138315603968,garyhulme1812,2020-12-13 00:04:07,"RT @PoliticsPollss: More Leave voters than Remainers have swung from the Tories to Labour since the last election, according to a major pol…",140
